NoA:10, NoC:10, NoS:2
STT | ETH ET1 ET2 | EVR1 EVR2 EVR3 EVR4 | WTH WTR1 WTR2 | MDH MDR1 MDR2 MDR3 MDR4 | PYH     | OUT 
    |         A05 |                     |               |                         |         |    
    |             |                     |C05B           |                         |         |    
    |             |                     |               |     C03Y                |         |    
    |             | A03                 |               |                         |         |    
    |             |                     |               |                         | A02-6   |    
    |             |                     |     C05B      |                         |         |    
    |             | A03R                |               |                         |         |    
    |             |                     |               |                         |         | A02-6
    |             |                     |               |C04B                     |         |    
    |     C07     |                     |               |                         |         |    
    |             |                     |A03R           |                         |         |    
    |             |                     |               |               A07B      |         |    
    |             | C06                 |               |                         |         |    
    |             |                     |          A03R |                         |         |    
    |             |                     |               |                         | C03-7   |    
    |             | C06R                |               |                         |         |    
    |             |                     |               |                         |         | C03-7
    |             |                     |               |A06R                     |         |    
    |         A08 |                     |               |                         |         |    
STO |             |                     |               |                         |         |    
    |         A09 |                     |               |                         |         |    
    |     C09     |                     |               |                         |         |    
    |     C08     |                     |               |                         |         |    
END |             |                     |               |                         |         |    
